date,nav
2021-03-11,998737.6800000002
2021-03-12,1003631.4299999999
2021-03-15,1010946.1099999999
2021-03-16,1028866.28
2021-03-17,1037162.9599999998
2021-03-18,1035190.8899999999
2021-03-19,1023960.1099999998
2021-03-22,1044734.26
2021-03-23,1040219.1300000002
2021-03-24,1039309.5700000004
2021-03-25,1037310.8999999999
2021-03-26,1051466.8900000001
2021-03-29,1051934.4100000001
2021-03-30,1040601.17
2021-03-31,1028015.3200000001
2021-04-01,1026099.47
2021-04-02,1026904.38
2021-04-06,1035854.9800000001
2021-04-07,1047497.6699999999
2021-04-08,1033340.57
2021-04-09,1031119.2899999999
2021-04-12,1027606.59
2021-04-13,1020906.23
2021-04-14,1022955.56
2021-04-15,1025744.3099999999
2021-04-16,1023784.7000000001
2021-04-19,1027550.67
2021-04-20,1024416.9900000002
2021-04-21,1024926.37
2021-04-22,1027020.7699999997
2021-04-23,1025015.0700000001
2021-04-26,1020219.2899999997
2021-04-27,1015449.3900000001
2021-04-28,1016662.9
2021-04-29,1023749.3700000001
2021-04-30,1021819.0800000001
2021-05-06,1024884.65
2021-05-07,1028881.4500000002
2021-05-10,1028467.0900000003
2021-05-11,1033281.6799999997
2021-05-12,1031296.9800000002
2021-05-13,1029575.4964010225
2021-05-14,1039432.6
2021-05-17,1033933.6499999998
2021-05-18,1034623.7499999999
2021-05-19,1032637.5599999998
2021-05-20,1031230.3399999997
2021-05-21,1032825.4678365332
2021-05-24,1035192.6599999997
2021-05-25,1040290.55
2021-05-26,1038341.9690973124
2021-05-27,1037393.7600000001
2021-05-28,1035647.2693396301
2021-05-31,1034345.2699999997
2021-06-01,1036215.8399999999
2021-06-02,1034293.0706170839
2021-06-03,1036529.4286887527
2021-06-04,1033977.5684744365
2021-06-07,1030642.6699999999
2021-06-08,1031732.8299999997
2021-06-09,1028794.1947953625
2021-06-10,1028029.1542100181
2021-06-11,1020945.5177015171
2021-06-15,1005335.0100000001
2021-06-16,997840.1979590149
2021-06-17,995566.1581070783
2021-06-18,997171.2381421761
2021-06-21,1006504.8650626309
2021-06-22,1010732.57
2021-06-23,1017481.8547921579
2021-06-24,1015082.4333722577
2021-06-25,1006686.8867418171
2021-06-28,1008496.97
2021-06-29,998563.5840836151
2021-06-30,1012071.5811828169
2021-07-01,1009417.49
2021-07-02,1004926.3100000002
2021-07-05,1015972.3900000002
2021-07-06,1008336.6258864857
2021-07-07,1013844.77
2021-07-08,1011553.7499999999
2021-07-09,1018670.7462972054
2021-07-12,1037016.5700000001
2021-07-13,1043734.5200000003
2021-07-14,1043982.2799999998
2021-07-15,1041203.7299999999
2021-07-16,1043572.5239754608
2021-07-19,1033239.8099999997
2021-07-20,1031041.51
2021-07-21,1043901.22
2021-07-22,1041725.09
2021-07-23,1038073.2100000002
2021-07-26,1031940.01
2021-07-27,1016201.05
2021-07-28,987428.5300000001
2021-07-29,985170.4799999999
2021-07-30,987737.7355173902
2021-08-02,1009987.8400000003
2021-08-03,999183.8400000003
2021-08-04,1016536.7899999997
2021-08-05,1013815.3399999997
2021-08-06,1019776.1400000002
2021-08-09,1021547.4500000004
2021-08-10,1036216.86
2021-08-11,1017742.1199999999
2021-08-12,1015379.4299999999
2021-08-13,1013161.0100000001
2021-08-16,1001654.3800000001
2021-08-17,972535.9500000001
2021-08-18,976446.5000000002
2021-08-19,974315.7393854482
2021-08-20,972839.2799999996
2021-08-23,991420.05
2021-08-24,997502.19
2021-08-25,1004224.5300000001
2021-08-26,1002035.1800000003
2021-08-27,992879.88
2021-08-30,998258.3900000002
2021-08-31,1002755.9599999997
2021-09-01,998353.2100000003
2021-09-02,996297.0300000001
2021-09-03,999303.5700000002
2021-09-06,1009928.4899999999
2021-09-07,1028945.0900000003
2021-09-08,1044903.0700000003
2021-09-09,1042826.1300000001
2021-09-10,1033853.7999999999
2021-09-13,1053536.96
2021-09-14,1030453.54
2021-09-15,1044410.2000000001
2021-09-16,1042202.34
2021-09-17,1033167.99
2021-09-22,1041294.8799999998
2021-09-23,1055987.2400000005
2021-09-24,1034363.75
2021-09-27,1032081.4099999999
2021-09-28,1033640.81
2021-09-29,999279.0799999998
2021-09-30,1019547.7199999999
2021-10-08,1043144.9800000001
2021-10-11,1040689.1099999998
2021-10-12,1023308.2799999997
2021-10-13,1021890.3734634857
2021-10-14,1020259.0960590203
2021-10-15,1012912.0200000001
2021-10-18,1010661.0200000001
2021-10-19,1016409.8100000002
2021-10-20,1013322.4100000004
2021-10-21,1013631.8099999999
2021-10-22,1003914.4099999998
2021-10-25,1001730.8800000002
2021-10-26,994573.21
2021-10-27,980430.6
2021-10-28,972141.86
2021-10-29,982777.9799999996
2021-11-01,980413.51
2021-11-02,969752.51
2021-11-03,971549.3099999998
2021-11-04,981700.08
2021-11-05,980297.0999999997
2021-11-08,978081.6499999999
2021-11-09,987358.61
2021-11-10,990854.6300000001
2021-11-11,1000415.68
2021-11-12,998633.7000000001
2021-11-15,996411.5099999998
2021-11-16,989629.9700000001
2021-11-17,994367.27
2021-11-18,985865.1599999998
2021-11-19,995680.4800000001
2021-11-22,991904.5799999997
2021-11-23,991349.4400000001
2021-11-24,986524.7
2021-11-25,985551.0135509815
2021-11-26,979096.21
2021-11-29,974518.06
2021-11-30,981647.45
2021-12-01,990568.1099999996
2021-12-02,985132.85
2021-12-03,993321.4700000002
2021-12-06,990005.84
2021-12-07,987151.58
2021-12-08,1006523.42
2021-12-09,1014109.69
2021-12-10,1010531.9800000002
2021-12-13,1006191.72
2021-12-14,1007144.0299999999
2021-12-15,1000351.84
2021-12-16,999314.9700000001
2021-12-17,992324.8100000003
2021-12-20,988184.53
2021-12-21,1001079.9599999998
2021-12-22,1009971.5300000001
2021-12-23,1012380.0800000001
2021-12-24,1009630.7199999997
2021-12-27,1006549.41
2021-12-28,1006510.8099999997
2021-12-29,1007216.73
2021-12-30,1017480.0899999999
2021-12-31,1031373.0799999998
2022-01-04,1028224.33
2022-01-05,1005383.3700000001
2022-01-06,1012568.2600000001
2022-01-07,993312.5899999997
2022-01-10,999780.8600000001
2022-01-11,997300.7000000001
2022-01-12,1002240.3699999996
2022-01-13,992508.6600000001
2022-01-14,994562.2400000003
2022-01-17,996474.4200000003
2022-01-18,994198.03
2022-01-19,998858.94
2022-01-20,979102.65
2022-01-21,972531.09
2022-01-24,962671.9600000002
2022-01-25,960439.81
2022-01-26,966769.5699999998
2022-01-27,940707.35
2022-01-28,951453.6800000002
2022-02-07,967891.8499999999
2022-02-08,965811.75
2022-02-09,970842.6699999997
2022-02-10,980377.85
2022-02-11,972750.62
2022-02-14,964530.7400000002
2022-02-15,962461.8899999999
2022-02-16,979306.1300000001
2022-02-17,976336.94
2022-02-18,992037.01
2022-02-21,1001882.0800000001
2022-02-22,999712.3599999996
2022-02-23,994912.5600000002
2022-02-24,977494.1899999997
2022-02-25,980901.5899999996
2022-02-28,979323.61
2022-03-01,977210.1900000003
2022-03-02,982426.12
2022-03-03,993492.51
2022-03-04,984892.24
2022-03-07,976450.0100000001
2022-03-08,974484.9499999998
2022-03-09,963134.51
2022-03-10,981738.3999999998
2022-03-11,985403.1700000002
2022-03-14,961900.5800000001
2022-03-15,959603.46
2022-03-16,991831.7999999998
2022-03-17,993221.6399999999
2022-03-18,1011010.46
2022-03-21,1017007.4400000001
2022-03-22,1014632.8099999997
2022-03-23,1008658.8700000001
2022-03-24,1003767.5199999997
2022-03-25,1010139.6199999999
2022-03-28,989447.3899999997
2022-03-29,987161.9799999995
2022-03-30,1000728.0400000002
2022-03-31,1006461.6300000002
2022-04-01,1013520.4100000001
2022-04-06,1024980.6
2022-04-07,1022605.52
2022-04-08,1025490.5800000002
2022-04-11,1008603.5199999998
2022-04-12,1019048.4599999998
2022-04-13,1006785.1099999999
2022-04-14,1004794.3100000003
2022-04-15,996386.9300000002
2022-04-18,993563.8199999998
2022-04-19,1001733.63
2022-04-20,986732.17
2022-04-21,984765.3900000001
2022-04-22,1000427.3600000001
2022-04-25,956887.03
2022-04-26,939372.32
2022-04-27,943417.28
2022-04-28,941411.8199999998
2022-04-29,948739.2619021831
2022-05-05,954977.0299999997
2022-05-06,940663.89
2022-05-09,942075.9099999999
2022-05-10,939754.3500000002
2022-05-11,934164.9572948039
2022-05-12,933927.4000000001
2022-05-13,944422.8108100699
2022-05-16,937368.3699999998
2022-05-17,935106.47
2022-05-18,932497.4599999998
2022-05-19,937590.64
2022-05-20,944804.9099999999
2022-05-23,950985.6999999997
2022-05-24,947335.5800000001
2022-05-25,962181.272643117
2022-05-26,970389.2545730867
2022-05-27,973860.14
2022-05-30,977785.2290804227
2022-05-31,975640.7700000003
2022-06-01,979996.4004708148
2022-06-02,975958.6199999999
2022-06-06,971897.7300000002
2022-06-07,968993.2900000002
2022-06-08,965670.9751795591
2022-06-09,955952.9800000003
2022-06-10,974286.9186446955
2022-06-13,966468.8827674399
2022-06-14,970597.0599999998
2022-06-15,967041.3228236828
2022-06-16,965129.6930712634
2022-06-17,965065.2997409507
2022-06-20,969377.9528952466
2022-06-21,966415.0141555967
2022-06-22,962086.6400000001
2022-06-23,948291.7699999997
2022-06-24,954058.6118183661
2022-06-27,955780.7350408694
2022-06-28,983540.8200000001
2022-06-29,978724.0871012207
2022-06-30,990987.5305082999
2022-07-01,987362.4289892783
2022-07-04,993553.4399999998
2022-07-05,986235.8914778421
2022-07-06,981523.8000000005
2022-07-07,983182.8723496621
2022-07-08,987360.8615938096
2022-07-11,984311.277907154
2022-07-12,973118.9199999999
2022-07-13,970910.9500000003
2022-07-14,970944.0335686416
2022-07-15,949093.3209252908
2022-07-18,960547.2
2022-07-19,960462.658108474
2022-07-20,957932.1236907619
2022-07-21,949922.1399999997
2022-07-22,948975.4532948118
2022-07-25,934837.5800000001
2022-07-26,943944.0099999999
2022-07-27,941767.2000000001
2022-07-28,957859.5111950198
2022-07-29,954214.53
2022-08-01,945960.0500000003
2022-08-02,914039.92
2022-08-03,910342.8899999999
2022-08-04,919985.0299999998
2022-08-05,933812.1435510321
2022-08-08,947756.3500000004
2022-08-09,954320.91
2022-08-10,951322.07
2022-08-11,958460.64
2022-08-12,951053.39
2022-08-15,953501.9799999999
2022-08-16,962640.7900000003
2022-08-17,960025.0099999997
2022-08-18,979983.2000000002
2022-08-19,960853.66
2022-08-22,965672.6700000003
2022-08-23,972315.23
2022-08-24,969630.99
2022-08-25,963609.8500000001
2022-08-26,964041.6800000002
2022-08-29,973182.3162223423
2022-08-30,967413.7
2022-08-31,965263.9199999999
2022-09-01,959863.8500000002
2022-09-02,970252.1099999998
2022-09-05,974114.0599999998
2022-09-06,980854.9700000001
2022-09-07,978691.2899999999
2022-09-08,975620.89
2022-09-09,970557.04
2022-09-13,956088.8899999998
2022-09-14,954060.1000000001
2022-09-15,951879.0200000004
2022-09-16,927328.1799999997
2022-09-19,918328.0716456317
2022-09-20,929576.9800000001
2022-09-21,933393.5300000001
2022-09-22,931279.8300000001
2022-09-23,923282.0300000001
2022-09-26,908489.06
2022-09-27,927793.5700000001
2022-09-28,914784.6599999998
2022-09-29,912578.3179880899
2022-09-30,911452.2999999998
2022-10-10,905784.5899999999
2022-10-11,908084.34
