date,nav
2021-03-11,998737.6800000002
2021-03-12,1003631.4299999999
2021-03-15,1010946.1099999999
2021-03-16,1028866.28
2021-03-17,1037162.9599999998
2021-03-18,1033211.9999999999
2021-03-19,1020728.1999999998
2021-03-22,1037609.1699999998
2021-03-23,1019194.1400000001
2021-03-24,990825.6799999999
2021-03-25,988161.5900000001
2021-03-26,1011350.48
2021-03-29,1021343.8399999995
2021-03-30,1020768.7899999999
2021-03-31,1016259.3499999996
2021-04-01,1013665.9800000002
2021-04-02,987951.4900000003
2021-04-06,1022287.03
2021-04-07,1041111.99
2021-04-08,1012124.7099999998
2021-04-09,1009410.9800000001
2021-04-12,995122.0400000004
2021-04-13,973607.3799999998
2021-04-14,977935.7400000001
2021-04-15,961499.2900000002
2021-04-16,958714.39
2021-04-19,972053.89
2021-04-20,972490.1537299843
2021-04-21,956766.6999999998
2021-04-22,966724.4700000001
2021-04-23,964285.33
2021-04-26,955104.5099999999
2021-04-27,926540.6799999999
2021-04-28,956693.2699999999
2021-04-29,940769.66
2021-04-30,938373.36
2021-05-06,902444.3800000001
2021-05-07,909066.1900000002
2021-05-10,915428.4599999998
2021-05-11,923737.6899999998
2021-05-12,920709.32
2021-05-13,918876.4334684518
2021-05-14,938095.1400000002
2021-05-17,953287.2399999999
2021-05-18,951304.2400000001
2021-05-19,948638.6199999998
2021-05-20,940559.22
2021-05-21,941039.7299999999
2021-05-24,942074.2499999998
2021-05-25,949447.94
2021-05-26,946592.79
2021-05-27,953831.2000000001
2021-05-28,938998.14
2021-05-31,953211.3200000001
2021-06-01,963523.0200000001
2021-06-02,960726.7299999997
2021-06-03,952231.7900000004
2021-06-04,939412.9999999999
2021-06-07,953023.7100000001
2021-06-08,948732.6500000004
2021-06-09,946198.98
2021-06-10,947985.31
2021-06-11,941136.22
2021-06-15,932657.8000000003
2021-06-16,918137.1000000001
2021-06-17,915591.6699999999
2021-06-18,921079.4500000003
2021-06-21,948942.6400000001
2021-06-22,960004.3899999999
2021-06-23,963183.3699999999
2021-06-24,959470.0299999997
2021-06-25,960257.3199999997
2021-06-28,971234.7900000002
2021-06-29,965762.0700000002
2021-06-30,975488.83
2021-07-01,973067.9660077794
2021-07-02,971664.96
2021-07-05,985848.24
2021-07-06,1004737.3100000003
2021-07-07,1008020.0400000003
2021-07-08,1004638.7974346558
2021-07-09,1010512.2038354584
2021-07-12,1030780.18
2021-07-13,1039548.9799999999
2021-07-14,1048694.9100000001
2021-07-15,1045253.099537004
2021-07-16,1040450.4598918571
2021-07-19,1045301.6499999999
2021-07-20,1044758.7757895641
2021-07-21,1069316.9800000002
2021-07-22,1065602.71
2021-07-23,1034427.4800000001
2021-07-26,1015807.96
2021-07-27,988517.7399999996
2021-07-28,975608.1700000002
2021-07-29,972282.5399999999
2021-07-30,983153.3800000005
2021-08-02,1006545.9600000002
2021-08-03,1009935.9899999996
2021-08-04,1028625.01
2021-08-05,1024613.1099999998
2021-08-06,1022911.36
2021-08-09,1030194.38
2021-08-10,1029595.4500000001
2021-08-11,1041128.91
2021-08-12,1036827.6299999998
2021-08-13,1025136.0099999999
2021-08-16,1017931.4299999997
2021-08-17,985307.66
2021-08-18,986283.22
2021-08-19,983294.9700000001
2021-08-20,977783.4199999999
2021-08-23,997455.1499999998
2021-08-24,1017977.9500000001
2021-08-25,1025438.1399999998
2021-08-26,1021838.2200000002
2021-08-27,1010374.62
2021-08-30,1009854.5499999999
2021-08-31,1000039.0399999999
2021-09-01,994987.4500000002
2021-09-02,991359.8899999995
2021-09-03,984671.1600000001
2021-09-06,1002712.0800000001
2021-09-07,1009718.5200000003
2021-09-08,1004843.12
2021-09-09,1001825.9400000001
2021-09-10,1003679.4100000001
2021-09-13,1000683.9599999998
2021-09-14,1018435.0400000002
2021-09-15,1027871.6200000001
2021-09-16,1024654.2800000003
2021-09-17,1016710.0800000001
2021-09-22,1016473.83
2021-09-23,1021040.0900000001
2021-09-24,1012341.1999999998
2021-09-27,1009871.1900000001
2021-09-28,1021494.4999999999
2021-09-29,968230.6100000002
2021-09-30,1005346.23
2021-10-08,998642.4900000001
2021-10-11,995750.0799999998
2021-10-12,965579.8099999998
2021-10-13,965107.3499999999
2021-10-14,985630.4900000001
2021-10-15,983230.7999999998
2021-10-18,980647.5499999998
2021-10-19,984990.2100000001
2021-10-20,987863.6200000005
2021-10-21,986376.7999999999
2021-10-22,966959.97
2021-10-25,964168.37
2021-10-26,950801.0100000002
2021-10-27,928079.6
2021-10-28,906983.3599999999
2021-10-29,917769.9199999998
2021-11-01,914472.1500000003
2021-11-02,898764.5900000001
2021-11-03,913215.11
2021-11-04,927745.59
2021-11-05,927002.35
2021-11-08,924143.5700000001
2021-11-09,953489.53
2021-11-10,951917.8399999997
2021-11-11,954696.6500000004
2021-11-12,961393.9500000001
2021-11-15,958332.3200000002
2021-11-16,939740.7799999999
2021-11-17,972678.29
2021-11-18,983755.1199999999
2021-11-19,997357.2899999999
2021-11-22,994415.57
2021-11-23,1009929.79
2021-11-24,1031863.0399999997
2021-11-25,1036325.56
2021-11-26,1030414.6799999998
2021-11-29,1027643.2299999997
2021-11-30,1032901.2800000001
2021-12-01,1038850.32
2021-12-02,1019637.7200000003
2021-12-03,1027052.3099999999
2021-12-06,1024093.6199999999
2021-12-07,1013666.6700000002
2021-12-08,1026726.3300000001
2021-12-09,1023579.7799999999
2021-12-10,1037523.98
2021-12-13,1034579.2500000002
2021-12-14,1041136.4999999999
2021-12-15,1045092.9100000003
2021-12-16,1040967.4700000003
2021-12-17,1020370.7499999999
2021-12-20,1016493.6199999996
2021-12-21,1026409.0000000002
2021-12-22,1030564.8799999997
2021-12-23,1027282.4600000001
2021-12-24,997819.9900000002
2021-12-27,994803.9600000003
2021-12-28,996207.6199999999
2021-12-29,1008469.5399999998
2021-12-30,1010933.8799999999
2021-12-31,1005951.78
2022-01-04,1002990.7499999995
2022-01-05,992115.75
2022-01-06,1010779.4800000002
2022-01-07,980521.6500000001
2022-01-10,978773.54
2022-01-11,975566.2000000003
2022-01-12,1000890.6799999999
2022-01-13,982999.3899999998
2022-01-14,998746.9299999996
2022-01-17,1027196.8700000002
2022-01-18,1024590.6099999998
2022-01-19,1024210.0599999999
2022-01-20,989685.3000000002
2022-01-21,963161.4900000002
2022-01-24,963813.3300000003
2022-01-25,961023.27
2022-01-26,941000.7699999998
2022-01-27,916689.78
2022-01-28,926265.6399999997
2022-02-07,939006.9400000001
2022-02-08,936404.1299999999
2022-02-09,971937.6000000001
2022-02-10,976239.1499999998
2022-02-11,953798.7200000002
2022-02-14,963470.9400000002
2022-02-15,960672.83
2022-02-16,971168.6699999997
2022-02-17,969547.3599999999
2022-02-18,971808.1400000001
2022-02-21,981937.8600000002
2022-02-22,978491.8800000001
2022-02-23,1001365.7100000001
2022-02-24,965204.07
2022-02-25,978995.4999999999
2022-02-28,983047.1399999999
2022-03-01,980227.9799999999
2022-03-02,990724.6600000003
2022-03-03,973174.89
2022-03-04,954378.1199999999
2022-03-07,947907.7500000005
2022-03-08,944654.6599999999
2022-03-09,949901.9399999998
2022-03-10,987794.2000000001
2022-03-11,988479.37
2022-03-14,963904.7600000001
2022-03-15,961697.29
2022-03-16,986957.4399999998
2022-03-17,1009349.2199999997
2022-03-18,1028033.2300000001
2022-03-21,1042935.1499999998
2022-03-22,1039370.1700000002
2022-03-23,1043414.9399999996
2022-03-24,1044559.6199999999
2022-03-25,1013765.6000000002
2022-03-28,1011500.7300000003
2022-03-29,1008847.9899999999
2022-03-30,1029606.9100000003
2022-03-31,1039460.8700000001
2022-04-01,1008781.5100000002
2022-04-06,1018933.8399999997
2022-04-07,1016320.4899999999
2022-04-08,999539.21
2022-04-11,979661.52
2022-04-12,985547.58
2022-04-13,958225.4099999998
2022-04-14,955647.1633272
2022-04-15,933921.6999999998
2022-04-18,942028.3722241903
2022-04-19,938124.93
2022-04-20,909022.3499999999
2022-04-21,906614.6200000001
2022-04-22,894376.6879482338
2022-04-25,839838.67
2022-04-26,828326.0000000001
2022-04-27,855637.9999999995
2022-04-28,853563.6399999999
2022-04-29,899342.5899999996
2022-05-05,909396.1699999996
2022-05-06,920300.6797819294
2022-05-09,929225.4600000001
2022-05-10,926430.2299999996
2022-05-11,939478.0800000002
2022-05-12,932084.64
2022-05-13,939437.7900000002
2022-05-16,946212.7699999999
2022-05-17,943675.0500000004
2022-05-18,944833.2300000001
2022-05-19,955477.7200000001
2022-05-20,950939.4799999999
2022-05-23,955990.3000000002
2022-05-24,953374.6600000001
2022-05-25,967022.5699999997
2022-05-26,970760.0299999996
2022-05-27,967020.9586549181
2022-05-30,967859.9800000001
2022-05-31,964550.53
2022-06-01,971057.6300000002
2022-06-02,987426.5199999998
2022-06-06,1007148.3099999998
2022-06-07,996150.52
2022-06-08,993046.07
2022-06-09,965958.1755707085
2022-06-10,978906.3299999998
2022-06-13,992899.5699999998
2022-06-14,986839.5800000001
2022-06-15,983920.9199999999
2022-06-16,993197.59
2022-06-17,1001392.8900000001
2022-06-20,1021904.9900000002
2022-06-21,1018818.7999999999
2022-06-22,1016125.87
2022-06-23,1033938.5399999998
2022-06-24,1048417.6600000001
2022-06-27,1056478.12
2022-06-28,1069076.14
2022-06-29,1066229.6199999999
2022-06-30,1076247.97
2022-07-01,1077706.19
2022-07-04,1094709.1000000006
2022-07-05,1097498.3499999999
2022-07-06,1094748.4100000001
2022-07-07,1094020.24
2022-07-08,1100706.9199999997
2022-07-11,1087830.1199999999
2022-07-12,1061979.73
2022-07-13,1059126.37
2022-07-14,1077433.3
2022-07-15,1072624.8900000001
2022-07-18,1088063.12
2022-07-19,1102043.14
2022-07-20,1099315.0200000003
2022-07-21,1090736.9799999997
2022-07-22,1085721.4929460245
2022-07-25,1078408.18
2022-07-26,1092365.4900000002
2022-07-27,1089509.64
2022-07-28,1079945.77
2022-07-29,1069276.7200000004
2022-08-01,1074698.87
2022-08-02,1026227.1599999999
2022-08-03,1023666.54
2022-08-04,1042058.1500000001
2022-08-05,1040948.0500000002
2022-08-08,1065921.07
2022-08-09,1058055.4699999997
2022-08-10,1054971.78
2022-08-11,1047281.6
2022-08-12,1031598.71
2022-08-15,1041403.5900000001
2022-08-16,1056137.26
2022-08-17,1052843.16
2022-08-18,1070913.82
2022-08-19,1035078.5600000002
2022-08-22,1035593.86
2022-08-23,1045275.8299999998
2022-08-24,1042434.6199999999
2022-08-25,1024248.82
2022-08-26,1006364.68
2022-08-29,1018389.45
2022-08-30,1010720.0000000002
2022-08-31,1007942.7300000001
2022-09-01,1000675.7599999998
2022-09-02,1026028.3899999997
2022-09-05,1034804.1999999997
2022-09-06,1068818.85
2022-09-07,1065430.9200000002
2022-09-08,1057039.25
2022-09-09,1059740.8099999998
2022-09-13,1067223.77
2022-09-14,1053086.4400000002
2022-09-15,1050038.63
2022-09-16,1039966.2100000001
2022-09-19,1035867.9800000003
2022-09-20,1071985.05
2022-09-21,1074173.8299999998
2022-09-22,1071039.03
2022-09-23,1045268.6000000001
2022-09-26,1035535.1300000001
2022-09-27,1068446.2999999996
2022-09-28,1043545.7299999999
2022-09-29,1040820.7100000001
2022-09-30,1006912.2000000001
