date,nav
2021-03-11,998737.6799999999
2021-03-12,1003631.43
2021-03-15,1010946.11
2021-03-16,1028866.28
2021-03-17,1037162.96
2021-03-18,1033212.0
2021-03-19,1020728.2
2021-03-22,1037609.17
2021-03-23,1019194.14
2021-03-24,990825.68
2021-03-25,988161.59
2021-03-26,1011350.48
2021-03-29,1021343.84
2021-03-30,1020768.79
2021-03-31,1016259.35
2021-04-01,1013665.98
2021-04-02,987951.49
2021-04-06,1022287.03
2021-04-07,1041111.99
2021-04-08,1012124.71
2021-04-09,1009410.98
2021-04-12,995122.04
2021-04-13,973607.38
2021-04-14,977935.74
2021-04-15,961499.29
2021-04-16,958714.39
2021-04-19,972053.89
2021-04-20,972490.1537299845
2021-04-21,956766.7
2021-04-22,966724.47
2021-04-23,964285.33
2021-04-26,955104.51
2021-04-27,926540.68
2021-04-28,956693.27
2021-04-29,940769.66
2021-04-30,938373.36
2021-05-06,902444.38
2021-05-07,909066.1900000001
2021-05-10,915428.46
2021-05-11,923737.6900000001
2021-05-12,920709.32
2021-05-13,918876.4334684517
2021-05-14,938095.14
2021-05-17,953287.24
2021-05-18,951304.24
2021-05-19,948638.62
2021-05-20,940559.22
2021-05-21,941039.73
2021-05-24,942074.25
2021-05-25,949447.94
2021-05-26,946592.79
2021-05-27,953831.2
2021-05-28,938998.14
2021-05-31,953211.3200000001
2021-06-01,963523.02
2021-06-02,960726.73
2021-06-03,952231.79
2021-06-04,939413.0
2021-06-07,953023.71
2021-06-08,948732.65
2021-06-09,946198.98
2021-06-10,947985.31
2021-06-11,941136.22
2021-06-15,932657.8
2021-06-16,918137.1
2021-06-17,915591.67
2021-06-18,921079.45
2021-06-21,948942.64
2021-06-22,960004.39
2021-06-23,963183.37
2021-06-24,959470.03
2021-06-25,960257.3200000001
2021-06-28,971234.79
2021-06-29,965762.0700000001
2021-06-30,975488.83
2021-07-01,973067.9660077796
2021-07-02,971664.96
2021-07-05,985848.24
2021-07-06,1004737.3099999999
2021-07-07,1008020.04
2021-07-08,1004638.7974346558
2021-07-09,1010512.2038354585
2021-07-12,1030780.1799999999
2021-07-13,1039548.98
2021-07-14,1048694.91
2021-07-15,1045253.0995370039
2021-07-16,1040450.4598918571
2021-07-19,1045301.65
2021-07-20,1044758.7757895641
2021-07-21,1069316.98
2021-07-22,1065602.71
2021-07-23,1034427.48
2021-07-26,1015807.96
2021-07-27,988517.74
2021-07-28,975608.17
2021-07-29,972282.54
2021-07-30,983153.38
2021-08-02,1006545.96
2021-08-03,1009935.99
2021-08-04,1028625.01
2021-08-05,1024613.11
2021-08-06,1022911.36
2021-08-09,1030194.38
2021-08-10,1029595.45
2021-08-11,1041128.91
2021-08-12,1036827.63
2021-08-13,1025136.01
