date,nav
2021-03-11,998421.234560002
2021-03-12,998241.404560002
2021-03-15,997964.054560002
2021-03-16,1013772.4845502253
2021-03-17,1018841.3024240616
2021-03-18,1017545.674560002
2021-03-19,1018908.3197283793
2021-03-22,1037172.424560002
2021-03-23,1024989.054560002
2021-03-24,1019147.475614795
2021-03-25,1013688.994560002
2021-03-26,1024930.9745600021
2021-03-29,1025573.8145600021
2021-03-30,1013734.6505398181
2021-03-31,1018960.9402051326
2021-04-01,1018660.6560580279
2021-04-02,1022615.504560002
2021-04-06,1036141.830894522
2021-04-07,1043831.924560002
2021-04-08,1034532.5377399037
2021-04-09,1037057.317187821
2021-04-12,1036003.7349425041
2021-04-13,1027116.0820295111
2021-04-14,1039212.897651578
2021-04-15,1035302.9622910183
2021-04-16,1055109.463591242
2021-04-19,1067144.1577288415
2021-04-20,1060622.6061724955
2021-04-21,1056445.9853277141
2021-04-22,1060113.9839759949
2021-04-23,1045053.4348271916
2021-04-26,1041840.3436760451
2021-04-27,1030276.4586992989
2021-04-28,1032174.8283703534
2021-04-29,1022876.8938329966
2021-04-30,1011396.8555787134
2021-05-06,1023669.9866888137
2021-05-07,1020027.5791837532
2021-05-10,1026761.1045037006
2021-05-11,1031285.769853322
2021-05-12,1044614.6587245059
2021-05-13,1041768.5620021713
2021-05-14,1040672.9549038962
2021-05-17,1026797.5640318418
2021-05-18,1032252.370583047
2021-05-19,1030168.4700701042
2021-05-20,1026430.3212826117
2021-05-21,1029672.97790454
2021-05-24,1035248.7483344611
2021-05-25,1040461.20512315
2021-05-26,1049527.0014950307
2021-05-27,1056663.3783138015
2021-05-28,1050152.3994393428
2021-05-31,1063306.6851292227
2021-06-01,1071683.1096677014
2021-06-02,1065515.8539010326
2021-06-03,1064782.9531667174
2021-06-04,1061182.3968548765
2021-06-07,1069339.369497527
2021-06-08,1069041.9578890225
2021-06-09,1069733.2727468582
2021-06-10,1074690.192878086
2021-06-11,1067533.2994036914
2021-06-15,1066436.441864677
2021-06-16,1056864.5323191925
2021-06-17,1061029.529144021
2021-06-18,1069204.0106955096
2021-06-21,1080809.2589638743
2021-06-22,1087553.1383695735
2021-06-23,1087923.5421389109
2021-06-24,1080786.3008884587
2021-06-25,1080277.1665956068
2021-06-28,1087232.234921773
2021-06-29,1077223.3195514583
2021-06-30,1085346.8675227314
2021-07-01,1068939.3167298045
2021-07-02,1067714.3178782305
2021-07-05,1083325.2514141442
2021-07-06,1084074.670039328
2021-07-07,1090448.1952835368
2021-07-08,1084812.7553385475
2021-07-09,1091701.2929346284
2021-07-12,1104742.3532192647
2021-07-13,1109721.3762396672
2021-07-14,1108578.68227253
2021-07-15,1095401.1611663445
2021-07-16,1094431.573962409
2021-07-19,1093693.2698880087
2021-07-20,1097761.4593528798
2021-07-21,1110588.0649515237
2021-07-22,1116852.91158752
2021-07-23,1104604.169155248
2021-07-26,1091207.4480604602
2021-07-27,1072528.8499275455
2021-07-28,1043250.3029006446
2021-07-29,1070896.895863489
2021-07-30,1084392.4479166751
2021-08-02,1103896.837197727
2021-08-03,1102100.9251429208
2021-08-04,1114501.6527550586
2021-08-05,1105849.2756405675
2021-08-06,1107429.7542661782
2021-08-09,1120532.7509129716
2021-08-10,1133671.6240421664
2021-08-11,1141595.05119838
2021-08-12,1140405.0059314591
2021-08-13,1141528.920720911
2021-08-16,1144379.72629296
2021-08-17,1116647.8642311238
2021-08-18,1126420.2520049943
2021-08-19,1121137.031062687
2021-08-20,1114207.3087038437
2021-08-23,1144517.2743928507
2021-08-24,1149587.6010881602
2021-08-25,1158712.02303809
2021-08-26,1153955.603558247
2021-08-27,1148590.3559698414
2021-08-30,1149056.14108816
2021-08-31,1146977.90108816
2021-09-01,1141554.39108816
2021-09-02,1153722.64108816
2021-09-03,1157545.0910881602
2021-09-06,1168687.27108816
2021-09-07,1181317.980013254
2021-09-08,1193480.53567451
2021-09-09,1193472.25608656
2021-09-10,1192241.455649672
2021-09-13,1199182.9690991878
2021-09-14,1186579.6744866723
2021-09-15,1195744.100808503
2021-09-16,1182061.1271759328
2021-09-17,1176603.535954799
2021-09-22,1178600.3555126258
2021-09-23,1187195.5186376537
2021-09-24,1164192.1048107427
2021-09-27,1128839.8851256622
2021-09-28,1134018.2022530655
2021-09-29,1101136.929215308
2021-09-30,1126143.525002581
2021-10-08,1148785.692811232
2021-10-11,1145276.3756496722
2021-10-12,1130379.9655239712
2021-10-13,1131464.79856687
2021-10-14,1139074.3025023649
2021-10-15,1126258.557951085
2021-10-18,1136716.4216389426
2021-10-19,1139756.064392571
2021-10-20,1138594.3010915495
2021-10-21,1130206.988781107
2021-10-22,1119690.5178238342
2021-10-25,1124308.2771782398
2021-10-26,1119314.6922995623
2021-10-27,1098099.7058047082
2021-10-28,1077641.7592967083
2021-10-29,1095479.6758047082
2021-11-01,1111576.1252798312
2021-11-02,1097859.4008995981
2021-11-03,1105718.885804708
2021-11-04,1123456.1258047083
2021-11-05,1122847.3158047083
2021-11-08,1130790.5958047083
2021-11-09,1142778.3458047083
2021-11-10,1152989.4230702752
2021-11-11,1163270.6158047083
2021-11-12,1177459.0958047083
2021-11-15,1195515.0958047083
2021-11-16,1185051.0458047083
2021-11-17,1203896.0158047082
2021-11-18,1202662.450765715
2021-11-19,1217117.610765715
2021-11-22,1225880.210765715
2021-11-23,1232293.5976357502
2021-11-24,1239910.740765715
2021-11-25,1241735.6946217592
2021-11-26,1237444.220765715
2021-11-29,1236040.270765715
2021-11-30,1248918.710765715
2021-12-01,1265516.572595735
2021-12-02,1247431.500765715
2021-12-03,1249602.7514948822
2021-12-06,1227127.490765715
2021-12-07,1216861.672057393
2021-12-08,1230699.600765715
2021-12-09,1237458.1991308539
2021-12-10,1243876.490765715
2021-12-13,1248715.990765715
2021-12-14,1261507.720765715
2021-12-15,1264376.770765715
2021-12-16,1278952.5807657149
2021-12-17,1277627.0023712905
2021-12-20,1269102.7521205505
2021-12-21,1292464.9862389504
2021-12-22,1295576.0062389504
2021-12-23,1283765.9562389504
2021-12-24,1259241.9528687105
2021-12-27,1268986.8162389505
2021-12-28,1276582.2762389504
2021-12-29,1278068.1062389505
2021-12-30,1292844.2000091274
2021-12-31,1298678.8462389505
2022-01-04,1321733.2662389504
2022-01-05,1305805.6162389505
2022-01-06,1321898.8062389505
2022-01-07,1297107.4162389506
2022-01-10,1312422.7262389504
2022-01-11,1310540.0962389505
2022-01-12,1330471.1562389506
2022-01-13,1323729.8762389505
2022-01-14,1317488.8662389505
2022-01-17,1339752.8862389505
2022-01-18,1338382.751064797
2022-01-19,1346843.741064797
2022-01-20,1305978.531064797
2022-01-21,1292842.971064797
2022-01-24,1285256.721064797
2022-01-25,1228515.991064797
2022-01-26,1237242.491064797
2022-01-27,1193137.1010647968
2022-01-28,1217121.951064797
2022-02-07,1233653.491064797
2022-02-08,1256144.591064797
2022-02-09,1274751.4010647968
2022-02-10,1272303.9010647968
2022-02-11,1246684.9310647969
2022-02-14,1252564.3510647968
2022-02-15,1253650.241064797
2022-02-16,1273444.971064797
2022-02-17,1266805.201064797
2022-02-18,1276377.261064797
2022-02-21,1298984.6410647968
2022-02-22,1285647.061064797
2022-02-23,1284343.3063193506
2022-02-24,1252998.5563193506
2022-02-25,1265195.6963193505
2022-02-28,1262897.3263193506
2022-03-01,1276053.6863193505
2022-03-02,1285463.0563193506
2022-03-03,1284962.1963193505
2022-03-04,1269678.4663193505
2022-03-07,1255958.3063193506
2022-03-08,1214379.6896608411
2022-03-09,1198611.1063193507
2022-03-10,1218495.4863193505
2022-03-11,1227604.9663193505
2022-03-14,1195102.685250624
2022-03-15,1136022.4263193505
2022-03-16,1170299.8263193506
2022-03-17,1191537.4763193505
2022-03-18,1209597.1263193507
2022-03-21,1231077.9963193506
2022-03-22,1228815.2663193506
2022-03-23,1230069.1022441045
2022-03-24,1228817.4363287594
2022-03-25,1228304.5163287595
2022-03-28,1223088.6563287596
2022-03-29,1209598.9270887594
2022-03-30,1225803.348042007
2022-03-31,1228236.4265270815
2022-04-01,1221720.604189247
2022-04-06,1238584.6063287593
2022-04-07,1207654.0163287595
2022-04-08,1197765.0266568935
2022-04-11,1165530.7863287595
2022-04-12,1187006.9463490471
2022-04-13,1162937.3292067028
2022-04-14,1172188.8928507892
2022-04-15,1146326.465930461
2022-04-18,1154901.2971036579
2022-04-19,1161909.3705390776
2022-04-20,1155443.8009577538
2022-04-21,1110764.9214413995
2022-04-22,1099506.2127667605
2022-04-25,1013507.1721476272
2022-04-26,1012453.2509223822
2022-04-27,1039276.3626424342
2022-04-28,1015847.0334621794
2022-04-29,1062984.0042832298
2022-05-05,1076026.785348773
2022-05-06,1074209.4101751389
2022-05-09,1095373.4018889975
2022-05-10,1115481.9990760596
2022-05-11,1116194.497956912
2022-05-12,1126773.312027021
2022-05-13,1132795.047711305
2022-05-16,1135015.379041127
2022-05-17,1130050.4445110867
2022-05-18,1140871.5080640824
2022-05-19,1149183.348636372
2022-05-20,1159339.2794251337
2022-05-23,1175503.1284285334
2022-05-24,1123963.366219067
2022-05-25,1146852.4749833713
2022-05-26,1149870.6238763516
2022-05-27,1150543.4230912533
2022-05-30,1149302.695557157
2022-05-31,1161006.9547095122
2022-06-01,1170501.057933144
2022-06-02,1183102.760499643
2022-06-06,1201065.1773273523
2022-06-07,1190625.9299712696
2022-06-08,1185062.2137662354
2022-06-09,1156710.754614799
2022-06-10,1175683.0125312435
2022-06-13,1180312.8201735383
2022-06-14,1178307.9225902634
2022-06-15,1174362.4859190509
2022-06-16,1186287.8241769513
2022-06-17,1188354.3523741183
2022-06-20,1203907.1631038121
2022-06-21,1200230.6479641534
2022-06-22,1184440.2210345522
2022-06-23,1208893.1710724235
2022-06-24,1220741.565888549
2022-06-27,1231040.0194366842
2022-06-28,1250403.2655677495
2022-06-29,1249097.0220615524
2022-06-30,1256790.1828633316
2022-07-01,1253905.4649947472
2022-07-04,1257413.5293743073
2022-07-05,1244827.6745188069
2022-07-06,1234876.1199795522
2022-07-07,1242385.9772226615
2022-07-08,1248297.8038943699
2022-07-11,1240046.8428723102
2022-07-12,1217569.9210980881
2022-07-13,1236642.092844301
2022-07-14,1245202.1131581797
2022-07-15,1221970.7918939625
2022-07-18,1258330.6553502998
2022-07-19,1273858.9172489413
2022-07-20,1284487.4926731058
2022-07-21,1281691.997065498
2022-07-22,1280648.2637923146
2022-07-25,1268915.053157253
2022-07-26,1283208.6495270361
2022-07-27,1297736.0489806777
2022-07-28,1296410.283080943
2022-07-29,1291271.5281785212
2022-08-01,1297857.7919961135
2022-08-02,1242645.3769110742
2022-08-03,1239211.5520142126
2022-08-04,1259812.3053206743
2022-08-05,1272150.8085475687
2022-08-08,1293020.8296273602
2022-08-09,1298588.3827169973
2022-08-10,1306611.6095543061
2022-08-11,1321571.5137111398
2022-08-12,1316101.2896060054
2022-08-15,1322504.1557818085
2022-08-16,1334689.7142425706
2022-08-17,1337295.186328202
2022-08-18,1343043.6846375088
2022-08-19,1323550.5062037911
2022-08-22,1327198.9716131417
2022-08-23,1335359.8919668843
2022-08-24,1293662.7875351906
2022-08-25,1283593.0050210683
2022-08-26,1282294.153292928
2022-08-29,1294781.3350047376
2022-08-30,1291488.275589986
2022-08-31,1254666.5621244886
2022-09-01,1250730.7779786112
2022-09-02,1272452.5568657054
2022-09-05,1275345.69443629
2022-09-06,1288999.6179786113
2022-09-07,1293405.0179786112
2022-09-08,1279975.8817622925
2022-09-09,1275655.9807135614
2022-09-13,1281292.8279786112
2022-09-14,1272219.4079786113
2022-09-15,1241170.3916606917
2022-09-16,1210777.7646160442
2022-09-19,1194336.2279786111
2022-09-20,1214845.0615068176
2022-09-21,1221411.2293180188
2022-09-22,1216022.5129168993
2022-09-23,1188998.2680304018
2022-09-26,1164414.4688442287
2022-09-27,1163236.6929856213
2022-09-28,1132451.4747605796
