date,nav
2021-03-11,981534.86
2021-03-12,975774.54
2021-03-15,965861.39
2021-03-16,979756.0675528189
2021-03-17,991213.6240970205
2021-03-18,972185.27
2021-03-19,975751.68
2021-03-22,990034.04
2021-03-23,981017.58
2021-03-24,972913.12
2021-03-25,953944.85
2021-03-26,965681.14
2021-03-29,964563.92
2021-03-30,956340.86
2021-03-31,956036.7521035322
2021-04-01,936402.472159428
2021-04-02,947622.82
2021-04-06,959289.28
2021-04-07,966686.54
2021-04-08,964230.41
2021-04-09,943015.6481308037
2021-04-12,926293.15
2021-04-13,920317.32
2021-04-14,931111.8476168553
2021-04-15,927402.803373
2021-04-16,907652.5878592985
2021-04-19,921403.2287651732
2021-04-20,917293.6849892378
2021-04-21,918428.1993550697
2021-04-22,924330.53
2021-04-23,902163.891432998
2021-04-26,899049.0903930418
2021-04-27,886800.4648273677
2021-04-28,896134.5760365175
2021-04-29,889102.8199462085
2021-04-30,867460.5983315529
2021-05-06,866584.283072043
2021-05-07,854629.6048185988
2021-05-10,857130.7365768949
2021-05-11,861544.4714648438
2021-05-12,839449.7069087947
2021-05-13,837030.4323943785
2021-05-14,849920.7660931519
2021-05-17,847047.6124952539
2021-05-18,850679.6401043988
2021-05-19,828923.664000074
2021-05-20,828760.9107809482
2021-05-21,826335.7980556381
2021-05-24,828997.2582751997
2021-05-25,838446.5508009199
2021-05-26,815674.3926843891
2021-05-27,824631.3291840708
2021-05-28,817789.5204571246
2021-05-31,831145.2106486507
2021-06-01,839147.9412104692
2021-06-02,815397.3742345887
2021-06-03,809454.7582117427
2021-06-04,806311.8319148038
2021-06-07,810825.1294376237
2021-06-08,805102.6814337246
2021-06-09,783478.804309539
2021-06-10,787464.8862046099
2021-06-11,777975.3353700772
2021-06-15,772302.0037290225
2021-06-16,762846.5795192176
2021-06-17,739438.3386613264
2021-06-18,746086.9838246604
2021-06-21,756865.8129586816
2021-06-22,762410.507926798
2021-06-23,762913.4230914109
2021-06-24,739826.16706127
2021-06-25,740213.0415264375
2021-06-28,749827.98537419
2021-06-29,743462.9449727079
2021-06-30,750664.3138639609
2021-07-01,727084.9861863962
2021-07-02,720711.041297487
2021-07-05,731146.2111248685
2021-07-06,726480.0706597171
2021-07-07,733757.0315054049
2021-07-08,710006.4929682126
2021-07-09,711451.2025657905
2021-07-12,722690.5194517528
2021-07-13,721513.824343248
2021-07-14,717071.0173695704
2021-07-15,692794.171173249
2021-07-16,689561.927069795
2021-07-19,689615.61368585
2021-07-20,691201.1752864958
2021-07-21,700960.4488252721
2021-07-22,677393.15788826
2021-07-23,666715.01
2021-07-26,655229.84
2021-07-27,644104.5608308519
2021-07-28,629352.8377035945
2021-07-29,606215.9322778571
2021-07-30,612269.2762853449
2021-08-02,624825.223376
2021-08-03,624258.47
2021-08-04,631854.633816
2021-08-05,608850.69095845
2021-08-06,605700.9
2021-08-09,614627.94
2021-08-10,622331.92492402
2021-08-11,623384.81
2021-08-12,599063.8935244
2021-08-13,597427.615672289
2021-08-16,600518.57
2021-08-17,584382.434505
2021-08-18,588532.5009781251
2021-08-19,566232.33
2021-08-20,559987.43
2021-08-23,578163.43
2021-08-24,581305.37
2021-08-25,585367.6853442
2021-08-26,562156.03
2021-08-27,557977.67
2021-08-30,556248.71
2021-08-31,551223.99
2021-09-01,548598.61
2021-09-02,526687.67
2021-09-03,527090.91
2021-09-06,535855.184412771
2021-09-07,539212.5860279738
2021-09-08,540285.16
2021-09-09,517453.07
2021-09-10,516017.25
2021-09-13,515127.79
2021-09-14,511973.52952528
2021-09-15,512455.73100394866
2021-09-16,491024.25377808715
2021-09-17,490379.0387806
2021-09-22,489431.47619596694
2021-09-23,490689.4980038609
2021-09-24,483927.35712418
2021-09-27,461946.77715423
2021-09-28,461164.4475078305
2021-09-29,447381.51552134356
2021-09-30,457472.6413863407
2021-10-08,463075.4
2021-10-11,440377.11
2021-10-12,434391.81
2021-10-13,439273.4061698755
2021-10-14,441559.98
2021-10-15,438498.51
2021-10-18,416109.62781313865
2021-10-19,417971.102152
2021-10-20,416565.06984301767
2021-10-21,413510.53
2021-10-22,411079.14
2021-10-25,389154.74
2021-10-26,387327.16538782394
2021-10-27,378121.53
2021-10-28,371894.352512
2021-10-29,377361.89
2021-11-01,355193.6694627681
2021-11-02,352073.94087142
2021-11-03,354676.63
2021-11-04,360444.78
2021-11-05,360577.98
2021-11-08,337862.52
2021-11-09,343200.12
2021-11-10,346027.9
2021-11-11,350511.01
2021-11-12,355833.99
2021-11-15,332805.15
2021-11-16,329186.98
2021-11-17,334424.77
2021-11-18,331045.03
2021-11-19,335482.73
2021-11-22,311455.82
2021-11-23,313723.73
2021-11-24,317066.82
2021-11-25,317679.66346092883
2021-11-26,316172.18
2021-11-29,291064.82
2021-11-30,292704.01
2021-12-01,295018.97985835
2021-12-02,289005.52
2021-12-03,289311.90060827293
2021-12-06,265485.06
2021-12-07,262598.03
2021-12-08,266207.66
2021-12-09,267928.7416103681
2021-12-10,268840.24
2021-12-13,244763.88
2021-12-14,247654.89
2021-12-15,247744.83
2021-12-16,249493.15
2021-12-17,245781.08
2021-12-20,221402.1586272
2021-12-21,223880.57
2021-12-22,225449.08
2021-12-23,223363.5
2021-12-24,219161.8862528
2021-12-27,196337.88
2021-12-28,198208.04
2021-12-29,198258.39
2021-12-30,200712.01907484466
2021-12-31,201587.71
2022-01-04,178345.32
2022-01-05,175348.3
2022-01-06,177066.28
2022-01-07,173762.61
2022-01-10,176211.45
2022-01-11,154129.29
2022-01-12,156916.78
2022-01-13,155387.43
2022-01-14,155469.15
2022-01-17,158167.88
2022-01-18,136699.59
2022-01-19,137048.13
2022-01-20,132928.5
2022-01-21,130743.38
2022-01-24,130167.51
2022-01-25,110291.04
2022-01-26,110827.66
2022-01-27,106940.3
2022-01-28,108620.83
2022-02-07,110030.46
2022-02-08,89952.73
2022-02-09,91250.9
2022-02-10,90480.04
2022-02-11,88231.6
2022-02-14,88434.38
2022-02-15,69534.93
2022-02-16,70626.42
2022-02-17,70373.53
2022-02-18,70652.85
2022-02-21,71707.09
2022-02-22,53797.43
2022-02-23,54904.66
2022-02-24,53599.02
2022-02-25,54209.32
2022-02-28,54195.5
2022-03-01,36226.52
2022-03-02,36430.67
2022-03-03,36249.64
2022-03-04,35876.64
2022-03-07,35393.78
2022-03-08,19118.965185832585
2022-03-09,18812.83
2022-03-10,19134.93
2022-03-11,19311.8
2022-03-14,18794.35
2022-03-15,6464.4
2022-03-16,6653.9800000000005
2022-03-17,6772.12
2022-03-18,6873.57
2022-03-21,7002.13
2022-03-22,359.7
2022-03-23,360.21999999999997
2022-03-24,357.33
2022-03-25,357.9
2022-03-28,356.74
2022-03-29,356.74
2022-03-30,356.74
2022-03-31,356.74
2022-04-01,356.74
2022-04-06,356.74
2022-04-07,356.74
2022-04-08,356.74
2022-04-11,356.74
2022-04-12,356.74
2022-04-13,356.74
2022-04-14,356.74
2022-04-15,356.74
2022-04-18,356.74
2022-04-19,356.74
2022-04-20,356.74
2022-04-21,356.74
2022-04-22,356.74
2022-04-25,356.74
2022-04-26,356.74
2022-04-27,356.74
2022-04-28,356.74
2022-04-29,356.74
2022-05-05,356.74
2022-05-06,356.74
2022-05-09,356.74
2022-05-10,356.74
2022-05-11,356.74
2022-05-12,356.74
2022-05-13,356.74
2022-05-16,356.74
2022-05-17,356.74
2022-05-18,356.74
2022-05-19,356.74
2022-05-20,356.74
2022-05-23,356.74
2022-05-24,356.74
2022-05-25,356.74
2022-05-26,356.74
2022-05-27,356.74
2022-05-30,356.74
2022-05-31,356.74
2022-06-01,356.74
2022-06-02,356.74
2022-06-06,356.74
2022-06-07,356.74
2022-06-08,356.74
2022-06-09,356.74
2022-06-10,356.74
2022-06-13,356.74
2022-06-14,356.74
2022-06-15,356.74
2022-06-16,356.74
2022-06-17,356.74
2022-06-20,356.74
2022-06-21,356.74
2022-06-22,356.74
2022-06-23,356.74
2022-06-24,356.74
2022-06-27,356.74
2022-06-28,356.74
2022-06-29,356.74
2022-06-30,356.74
2022-07-01,356.74
2022-07-04,356.74
2022-07-05,356.74
2022-07-06,356.74
2022-07-07,356.74
2022-07-08,356.74
2022-07-11,356.74
2022-07-12,356.74
2022-07-13,356.74
2022-07-14,356.74
2022-07-15,356.74
2022-07-18,356.74
2022-07-19,356.74
2022-07-20,356.74
2022-07-21,356.74
2022-07-22,356.74
2022-07-25,356.74
2022-07-26,356.74
2022-07-27,356.74
2022-07-28,356.74
2022-07-29,356.74
2022-08-01,356.74
2022-08-02,356.74
2022-08-03,356.74
2022-08-04,356.74
2022-08-05,356.74
2022-08-08,356.74
2022-08-09,356.74
2022-08-10,356.74
2022-08-11,356.74
2022-08-12,356.74
2022-08-15,356.74
2022-08-16,356.74
2022-08-17,356.74
2022-08-18,356.74
2022-08-19,356.74
2022-08-22,356.74
2022-08-23,356.74
2022-08-24,356.74
2022-08-25,356.74
2022-08-26,356.74
2022-08-29,356.74
2022-08-30,356.74
2022-08-31,356.74
2022-09-01,356.74
2022-09-02,356.74
2022-09-05,356.74
2022-09-06,356.74
2022-09-07,356.74
2022-09-08,356.74
2022-09-09,356.74
2022-09-13,356.74
2022-09-14,356.74
2022-09-15,356.74
2022-09-16,356.74
2022-09-19,356.74
2022-09-20,356.74
2022-09-21,356.74
2022-09-22,356.74
2022-09-23,356.74
2022-09-26,356.74
2022-09-27,356.74
2022-09-28,356.74
2022-09-29,356.74
2022-09-30,356.74
2022-10-10,356.74
2022-10-11,356.74
2022-10-12,356.74
2022-10-13,356.74
2022-10-14,356.74
2022-10-17,356.74
2022-10-18,356.74
2022-10-19,356.74
2022-10-20,356.74
2022-10-21,356.74
2022-10-24,356.74
2022-10-25,356.74
2022-10-26,356.74
2022-10-27,356.74
2022-10-28,356.74
2022-10-31,356.74
2022-11-01,356.74
2022-11-02,356.74
2022-11-03,356.74
2022-11-04,356.74
2022-11-07,356.74
2022-11-08,356.74
2022-11-09,356.74
2022-11-10,356.74
2022-11-11,356.74
2022-11-14,356.74
2022-11-15,356.74
2022-11-16,356.74
2022-11-17,356.74
2022-11-18,356.74
2022-11-21,356.74
2022-11-22,356.74
2022-11-23,356.74
2022-11-24,356.74
2022-11-25,356.74
2022-11-28,356.74
2022-11-29,356.74
2022-11-30,356.74
2022-12-01,356.74
2022-12-02,356.74
2022-12-05,356.74
2022-12-06,356.74
2022-12-07,356.74
2022-12-08,356.74
2022-12-09,356.74
2022-12-12,356.74
2022-12-13,356.74
2022-12-14,356.74
2022-12-15,356.74
2022-12-16,356.74
2022-12-19,356.74
2022-12-20,356.74
2022-12-21,356.74
2022-12-22,356.74
2022-12-23,356.74
2022-12-26,356.74
2022-12-27,356.74
2022-12-28,356.74
2022-12-29,356.74
2022-12-30,356.74
2023-01-03,356.74
2023-01-04,356.74
2023-01-05,356.74
2023-01-06,356.74
2023-01-09,356.74
2023-01-10,356.74
2023-01-11,356.74
2023-01-12,356.74
2023-01-13,356.74
2023-01-16,356.74
2023-01-17,356.74
2023-01-18,356.74
2023-01-19,356.74
2023-01-20,356.74
2023-01-30,356.74
2023-01-31,356.74
2023-02-01,356.74
2023-02-02,356.74
2023-02-03,356.74
2023-02-06,356.74
2023-02-07,356.74
2023-02-08,356.74
2023-02-09,356.74
2023-02-10,356.74
2023-02-13,356.74
2023-02-14,356.74
2023-02-15,356.74
2023-02-16,356.74
2023-02-17,356.74
2023-02-20,356.74
2023-02-21,356.74
2023-02-22,356.74
2023-02-23,356.74
2023-02-24,356.74
2023-02-27,356.74
2023-02-28,356.74
2023-03-01,356.74
2023-03-02,356.74
2023-03-03,356.74
2023-03-06,356.74
2023-03-07,356.74
2023-03-08,356.74
2023-03-09,356.74
2023-03-10,356.74
2023-03-13,356.74
2023-03-14,356.74
2023-03-15,356.74
2023-03-16,356.74
2023-03-17,356.74
2023-03-20,356.74
2023-03-21,356.74
2023-03-22,356.74
2023-03-23,356.74
2023-03-24,356.74
2023-03-27,356.74
2023-03-28,356.74
2023-03-29,356.74
2023-03-30,356.74
2023-03-31,356.74
2023-04-03,356.74
2023-04-04,356.74
2023-04-06,356.74
2023-04-07,356.74
2023-04-10,356.74
2023-04-11,356.74
2023-04-12,356.74
2023-04-13,356.74
2023-04-14,356.74
2023-04-17,356.74
2023-04-18,356.74
2023-04-19,356.74
2023-04-20,356.74
2023-04-21,356.74
2023-04-24,356.74
2023-04-25,356.74
2023-04-26,356.74
2023-04-27,356.74
2023-04-28,356.74
2023-05-04,356.74
2023-05-05,356.74
2023-05-08,356.74
2023-05-09,356.74
2023-05-10,356.74
2023-05-11,356.74
2023-05-12,356.74
2023-05-15,356.74
2023-05-16,356.74
2023-05-17,356.74
2023-05-18,356.74
2023-05-19,356.74
2023-05-22,356.74
2023-05-23,356.74
2023-05-24,356.74
2023-05-25,356.74
2023-05-26,356.74
2023-05-29,356.74
2023-05-30,356.74
2023-05-31,356.74
2023-06-01,356.74
2023-06-02,356.74
2023-06-05,356.74
2023-06-06,356.74
2023-06-07,356.74
2023-06-08,356.74
2023-06-09,356.74
2023-06-12,356.74
2023-06-13,356.74
2023-06-14,356.74
2023-06-15,356.74
2023-06-16,356.74
2023-06-19,356.74
2023-06-20,356.74
2023-06-21,356.74
2023-06-26,356.74
2023-06-27,356.74
2023-06-28,356.74
2023-06-29,356.74
2023-06-30,356.74
2023-07-03,356.74
2023-07-04,356.74
2023-07-05,356.74
2023-07-06,356.74
2023-07-07,356.74
2023-07-10,356.74
2023-07-11,356.74
2023-07-12,356.74
2023-07-13,356.74
2023-07-14,356.74
2023-07-17,356.74
2023-07-18,356.74
2023-07-19,356.74
2023-07-20,356.74
2023-07-21,356.74
2023-07-24,356.74
2023-07-25,356.74
2023-07-26,356.74
2023-07-27,356.74
2023-07-28,356.74
2023-07-31,356.74
2023-08-01,356.74
2023-08-02,356.74
2023-08-03,356.74
2023-08-04,356.74
2023-08-07,356.74
2023-08-08,356.74
2023-08-09,356.74
2023-08-10,356.74
2023-08-11,356.74
2023-08-14,356.74
2023-08-15,356.74
2023-08-16,356.74
