date,nav
2021-03-11,998737.6799999999
2021-03-12,1003631.43
2021-03-15,1010946.11
2021-03-16,1028866.28
2021-03-17,1037162.96
2021-03-18,1035190.89
2021-03-19,1023960.11
2021-03-22,1044734.26
2021-03-23,1040219.13
2021-03-24,1039309.57
2021-03-25,1037310.9
2021-03-26,1051466.89
2021-03-29,1051934.41
2021-03-30,1040601.17
2021-03-31,1028015.32
2021-04-01,1026099.47
2021-04-02,1026904.38
2021-04-06,1035854.98
2021-04-07,1047497.67
2021-04-08,1033340.5700000001
2021-04-09,1031119.29
2021-04-12,1027606.59
2021-04-13,1020906.23
2021-04-14,1022955.56
2021-04-15,1025744.3099999999
2021-04-16,1023784.7
2021-04-19,1027550.67
2021-04-20,1024416.99
2021-04-21,1024926.37
2021-04-22,1027020.77
2021-04-23,1025015.07
2021-04-26,1020219.29
2021-04-27,1015449.39
2021-04-28,1016662.9
2021-04-29,1023749.37
2021-04-30,1021819.08
2021-05-06,1024884.65
2021-05-07,1028881.45
2021-05-10,1028467.09
2021-05-11,1033281.68
2021-05-12,1031296.98
2021-05-13,1029575.4964010223
2021-05-14,1039432.6
2021-05-17,1033933.65
2021-05-18,1034623.75
2021-05-19,1032637.5599999999
2021-05-20,1031230.34
2021-05-21,1032825.4678365332
2021-05-24,1035192.66
2021-05-25,1040290.55
2021-05-26,1038341.9690973124
2021-05-27,1037393.76
2021-05-28,1035647.2693396304
2021-05-31,1034345.27
2021-06-01,1036215.84
2021-06-02,1034293.0706170842
2021-06-03,1036529.4286887528
2021-06-04,1033977.5684744365
2021-06-07,1030642.67
2021-06-08,1031732.83
2021-06-09,1028794.1947953627
2021-06-10,1028029.1542100181
2021-06-11,1020945.5177015169
2021-06-15,1005335.01
2021-06-16,997840.1979590154
2021-06-17,995566.1581070783
2021-06-18,997171.2381421762
2021-06-21,1006504.8650626307
2021-06-22,1010732.57
2021-06-23,1017481.854792158
2021-06-24,1015082.4333722576
2021-06-25,1006686.886741817
2021-06-28,1008496.97
2021-06-29,998563.5840836153
2021-06-30,1012071.5811828166
2021-07-01,1009417.49
2021-07-02,1004926.3099999999
2021-07-05,1015972.39
2021-07-06,1008336.6258864854
2021-07-07,1013844.77
2021-07-08,1011553.75
2021-07-09,1018670.7462972056
2021-07-12,1037016.57
2021-07-13,1043734.52
2021-07-14,1043982.28
2021-07-15,1041203.73
2021-07-16,1043572.5239754607
2021-07-19,1033239.81
2021-07-20,1031041.51
2021-07-21,1043901.22
2021-07-22,1041725.09
2021-07-23,1038073.21
2021-07-26,1031940.01
2021-07-27,1016201.05
2021-07-28,987428.53
2021-07-29,985170.48
2021-07-30,987737.73551739
2021-08-02,1009987.84
2021-08-03,999183.84
2021-08-04,1016536.7899999999
