date,nav
2021-03-11,978765.44
2021-03-12,978585.61
2021-03-15,978308.26
2021-03-16,994116.6899902233
2021-03-17,999185.5078640595
2021-03-18,977031.69
2021-03-19,978357.6952578517
2021-03-22,995067.51
2021-03-23,983300.49
2021-03-24,977334.571922788
2021-03-25,955466.92
2021-03-26,966305.82
2021-03-29,966339.53
2021-03-30,954896.0710224168
2021-03-31,959053.6156451305
2021-04-01,936269.8614980258
2021-04-02,940677.35
2021-04-06,953256.83
2021-04-07,962439.32
2021-04-08,953633.5683821348
2021-04-09,930887.5752080574
2021-04-12,920458.57
2021-04-13,912429.6508665065
2021-04-14,923425.6430441025
2021-04-15,919818.6725912286
2021-04-16,896204.6601400947
2021-04-19,906754.301411803
2021-04-20,901314.9686468438
2021-04-21,897125.8434603174
2021-04-22,900278.488874519
2021-04-23,876839.1138703997
2021-04-26,872146.6454151103
2021-04-27,861359.5145276025
2021-04-28,863701.1634645486
2021-04-29,855889.879012864
2021-04-30,832977.7050252367
2021-05-06,836838.7762114627
2021-05-07,835224.9233308661
2021-05-10,840121.5326036778
2021-05-11,844704.0076419429
2021-05-12,822008.0482422125
2021-05-13,819078.1120241216
2021-05-14,828806.3894085716
2021-05-17,817503.6262139564
2021-05-18,821994.6534415416
2021-05-19,799117.3701353633
2021-05-20,795870.6468032446
2021-05-21,798512.9316697549
2021-05-24,802868.7211806022
2021-05-25,806965.3470078185
2021-05-26,784021.0535384379
2021-05-27,789371.1801344489
2021-05-28,784311.3212682687
2021-05-31,793670.5593826628
2021-06-01,800426.9242668168
2021-06-02,776976.4134675415
2021-06-03,775840.6126540437
2021-06-04,772660.1452195498
2021-06-07,777306.8625675254
2021-06-08,777566.5464444754
2021-06-09,754753.6900412329
2021-06-10,757623.6575441096
2021-06-11,752767.3301010665
2021-06-15,745277.4957130564
2021-06-16,738366.4890739417
2021-06-17,714892.5011950716
2021-06-18,720567.1483562437
2021-06-21,728490.974362393
2021-06-22,733209.8541705562
2021-06-23,733404.7075718527
2021-06-24,710386.9705796485
2021-06-25,709398.9013380121
2021-06-28,713826.9056911807
2021-06-29,707210.2594142184
2021-06-30,712514.8434169815
2021-07-01,689709.6209929637
2021-07-02,688550.7675838831
2021-07-05,698267.8028140131
2021-07-06,699628.3773661095
2021-07-07,703658.0500196628
2021-07-08,679765.5778820883
2021-07-09,684179.2298720542
2021-07-12,692360.2895413645
2021-07-13,695964.5597293138
2021-07-14,690089.5690172473
2021-07-15,665766.970720327
2021-07-16,665021.7933435994
2021-07-19,664567.3652961581
2021-07-20,667050.0665930515
2021-07-21,675069.2151320431
2021-07-22,650879.4529974691
2021-07-23,643129.9859835223
2021-07-26,634382.8152366749
2021-07-27,623535.3245951496
2021-07-28,606235.8677440693
2021-07-29,582221.0792237119
2021-07-30,589416.291003772
2021-08-02,601082.3844689651
2021-08-03,601194.8118460501
2021-08-04,607125.7898651272
2021-08-05,582609.063528134
2021-08-06,582425.05
2021-08-09,589875.4435099505
2021-08-10,597012.4950880324
2021-08-11,601554.433836951
2021-08-12,576780.8119019317
2021-08-13,577363.3086549581
2021-08-16,578790.4276024
2021-08-17,564499.7354623947
2021-08-18,569592.4844469395
2021-08-19,546164.771985731
2021-08-20,542758.8401124699
2021-08-23,557948.3554628921
2021-08-24,560714.31
2021-08-25,565268.8403471485
2021-08-26,540876.4860829692
2021-08-27,538011.3176254041
2021-08-30,537842.51
2021-08-31,537076.34
2021-09-01,535235.82
2021-09-02,511240.16
2021-09-03,513618.81
2021-09-06,518917.75
2021-09-07,523802.1228296413
2021-09-08,529454.2442606
2021-09-09,504954.7974992
2021-09-10,500625.27
2021-09-13,503605.5107779704
2021-09-14,498184.54068828
2021-09-15,502111.4788487161
2021-09-16,477245.6104773266
2021-09-17,474793.1184303259
2021-09-22,475651.28258840344
2021-09-23,479368.49948063935
2021-09-24,469752.4567994376
2021-09-27,445466.8767431
2021-09-28,447324.0677014378
2021-09-29,433842.34006307926
2021-09-30,443659.2308629361
2021-10-08,452833.11465065
2021-10-11,428264.96
2021-10-12,421899.1409004194
2021-10-13,422586.4932533179
2021-10-14,425625.8478772146
2021-10-15,420982.7908630298
2021-10-18,395727.17285692046
2021-10-19,396565.2202106739
2021-10-20,395260.5053340784
2021-10-21,392417.2275389673
2021-10-22,388574.35885880666
2021-10-25,365418.77004296746
2021-10-26,363723.99011080683
2021-10-27,356489.78
2021-10-28,349571.746432
2021-10-29,355560.27
2021-11-01,331772.45991457964
2021-11-02,327336.61310612
2021-11-03,329835.4
2021-11-04,335021.03
2021-11-05,334988.74
2021-11-08,310340.43
2021-11-09,313733.39
2021-11-10,316531.2136149051
2021-11-11,319462.04
2021-11-12,323245.74
2021-11-15,296954.84
2021-11-16,294318.06
2021-11-17,298839.3
2021-11-18,296086.83
2021-11-19,299801.16
2021-11-22,274149.02
2021-11-23,275590.15566327167
2021-11-24,277278.09
2021-11-25,277791.550548139
2021-11-26,276780.85
2021-11-29,250988.36
2021-11-30,253741.26
2021-12-01,257400.07929556
2021-12-02,253697.7
2021-12-03,254259.86614583342
2021-12-06,229493.61
2021-12-07,227836.0319913817
2021-12-08,230361.31
2021-12-09,231738.2456730278
2021-12-10,232984.28
2021-12-13,206868.71
2021-12-14,208989.87
2021-12-15,209860.61
2021-12-16,212113.93
2021-12-17,211167.32469042
2021-12-20,185253.43
2021-12-21,188807.89
2021-12-22,189284.59
2021-12-23,187530.34
2021-12-24,183840.15725056
2021-12-27,157145.7
2021-12-28,158171.41
2021-12-29,158433.31
2021-12-30,160208.14837537523
2021-12-31,160993.14
2022-01-04,133308.77
2022-01-05,131702.63
2022-01-06,133244.18
2022-01-07,130721.34
2022-01-10,132068.28
2022-01-11,104594.32
2022-01-12,106232.97
2022-01-13,105775.18
2022-01-14,104932.36
2022-01-17,106879.35
2022-01-18,79962.38
2022-01-19,80580.71
2022-01-20,78145.41
2022-01-21,77477.43
2022-01-24,76938.79
2022-01-25,51610.34
2022-01-26,52043.51
2022-01-27,50178.68
2022-01-28,51286.77
2022-02-07,52052.13
2022-02-08,28053.92
2022-02-09,28480.32
2022-02-10,28459.23
2022-02-11,27910.78
2022-02-14,28073.27
2022-02-15,8890.93
2022-02-16,9038.64
2022-02-17,8978.66
2022-02-18,9079.79
2022-02-21,9256.79
2022-02-22,215.87
2022-02-23,216.12
2022-02-24,209.75
2022-02-25,211.58
2022-02-28,211.33
2022-03-01,211.33
2022-03-02,211.33
2022-03-03,211.33
2022-03-04,211.33
2022-03-07,211.33
2022-03-08,211.33
2022-03-09,211.33
2022-03-10,211.33
2022-03-11,211.33
2022-03-14,211.33
2022-03-15,211.33
2022-03-16,211.33
2022-03-17,211.33
2022-03-18,211.33
2022-03-21,211.33
2022-03-22,211.33
2022-03-23,211.33
2022-03-24,211.33
2022-03-25,211.33
2022-03-28,211.33
2022-03-29,211.33
2022-03-30,211.33
2022-03-31,211.33
2022-04-01,211.33
2022-04-06,211.33
2022-04-07,211.33
2022-04-08,211.33
2022-04-11,211.33
2022-04-12,211.33
2022-04-13,211.33
2022-04-14,211.33
2022-04-15,211.33
2022-04-18,211.33
2022-04-19,211.33
2022-04-20,211.33
2022-04-21,211.33
2022-04-22,211.33
2022-04-25,211.33
2022-04-26,211.33
2022-04-27,211.33
2022-04-28,211.33
2022-04-29,211.33
2022-05-05,211.33
2022-05-06,211.33
2022-05-09,211.33
2022-05-10,211.33
2022-05-11,211.33
2022-05-12,211.33
2022-05-13,211.33
2022-05-16,211.33
2022-05-17,211.33
2022-05-18,211.33
2022-05-19,211.33
2022-05-20,211.33
2022-05-23,211.33
2022-05-24,211.33
2022-05-25,211.33
2022-05-26,211.33
2022-05-27,211.33
2022-05-30,211.33
2022-05-31,211.33
2022-06-01,211.33
2022-06-02,211.33
2022-06-06,211.33
2022-06-07,211.33
2022-06-08,211.33
2022-06-09,211.33
2022-06-10,211.33
2022-06-13,211.33
2022-06-14,211.33
2022-06-15,211.33
2022-06-16,211.33
2022-06-17,211.33
2022-06-20,211.33
2022-06-21,211.33
2022-06-22,211.33
2022-06-23,211.33
2022-06-24,211.33
2022-06-27,211.33
2022-06-28,211.33
2022-06-29,211.33
2022-06-30,211.33
2022-07-01,211.33
2022-07-04,211.33
2022-07-05,211.33
2022-07-06,211.33
2022-07-07,211.33
2022-07-08,211.33
2022-07-11,211.33
2022-07-12,211.33
2022-07-13,211.33
2022-07-14,211.33
2022-07-15,211.33
2022-07-18,211.33
2022-07-19,211.33
2022-07-20,211.33
2022-07-21,211.33
2022-07-22,211.33
2022-07-25,211.33
2022-07-26,211.33
2022-07-27,211.33
2022-07-28,211.33
2022-07-29,211.33
2022-08-01,211.33
2022-08-02,211.33
2022-08-03,211.33
2022-08-04,211.33
2022-08-05,211.33
2022-08-08,211.33
2022-08-09,211.33
2022-08-10,211.33
2022-08-11,211.33
2022-08-12,211.33
2022-08-15,211.33
2022-08-16,211.33
2022-08-17,211.33
2022-08-18,211.33
2022-08-19,211.33
2022-08-22,211.33
2022-08-23,211.33
2022-08-24,211.33
2022-08-25,211.33
2022-08-26,211.33
2022-08-29,211.33
2022-08-30,211.33
2022-08-31,211.33
2022-09-01,211.33
2022-09-02,211.33
2022-09-05,211.33
2022-09-06,211.33
2022-09-07,211.33
2022-09-08,211.33
2022-09-09,211.33
2022-09-13,211.33
2022-09-14,211.33
2022-09-15,211.33
2022-09-16,211.33
2022-09-19,211.33
2022-09-20,211.33
2022-09-21,211.33
2022-09-22,211.33
2022-09-23,211.33
2022-09-26,211.33
2022-09-27,211.33
2022-09-28,211.33
2022-09-29,211.33
2022-09-30,211.33
2022-10-10,211.33
2022-10-11,211.33
2022-10-12,211.33
2022-10-13,211.33
2022-10-14,211.33
2022-10-17,211.33
2022-10-18,211.33
2022-10-19,211.33
2022-10-20,211.33
2022-10-21,211.33
2022-10-24,211.33
2022-10-25,211.33
2022-10-26,211.33
2022-10-27,211.33
2022-10-28,211.33
2022-10-31,211.33
2022-11-01,211.33
2022-11-02,211.33
2022-11-03,211.33
2022-11-04,211.33
2022-11-07,211.33
2022-11-08,211.33
2022-11-09,211.33
2022-11-10,211.33
2022-11-11,211.33
2022-11-14,211.33
2022-11-15,211.33
2022-11-16,211.33
2022-11-17,211.33
2022-11-18,211.33
2022-11-21,211.33
2022-11-22,211.33
2022-11-23,211.33
2022-11-24,211.33
2022-11-25,211.33
2022-11-28,211.33
2022-11-29,211.33
2022-11-30,211.33
2022-12-01,211.33
2022-12-02,211.33
2022-12-05,211.33
2022-12-06,211.33
2022-12-07,211.33
2022-12-08,211.33
2022-12-09,211.33
2022-12-12,211.33
2022-12-13,211.33
2022-12-14,211.33
2022-12-15,211.33
2022-12-16,211.33
2022-12-19,211.33
2022-12-20,211.33
2022-12-21,211.33
2022-12-22,211.33
2022-12-23,211.33
2022-12-26,211.33
2022-12-27,211.33
2022-12-28,211.33
2022-12-29,211.33
2022-12-30,211.33
2023-01-03,211.33
2023-01-04,211.33
2023-01-05,211.33
2023-01-06,211.33
2023-01-09,211.33
2023-01-10,211.33
2023-01-11,211.33
2023-01-12,211.33
2023-01-13,211.33
2023-01-16,211.33
2023-01-17,211.33
2023-01-18,211.33
2023-01-19,211.33
2023-01-20,211.33
2023-01-30,211.33
2023-01-31,211.33
2023-02-01,211.33
2023-02-02,211.33
2023-02-03,211.33
2023-02-06,211.33
2023-02-07,211.33
2023-02-08,211.33
2023-02-09,211.33
2023-02-10,211.33
2023-02-13,211.33
2023-02-14,211.33
2023-02-15,211.33
2023-02-16,211.33
2023-02-17,211.33
2023-02-20,211.33
2023-02-21,211.33
2023-02-22,211.33
2023-02-23,211.33
2023-02-24,211.33
2023-02-27,211.33
2023-02-28,211.33
2023-03-01,211.33
2023-03-02,211.33
2023-03-03,211.33
2023-03-06,211.33
2023-03-07,211.33
2023-03-08,211.33
2023-03-09,211.33
2023-03-10,211.33
2023-03-13,211.33
2023-03-14,211.33
2023-03-15,211.33
2023-03-16,211.33
2023-03-17,211.33
2023-03-20,211.33
2023-03-21,211.33
2023-03-22,211.33
2023-03-23,211.33
2023-03-24,211.33
2023-03-27,211.33
2023-03-28,211.33
2023-03-29,211.33
2023-03-30,211.33
2023-03-31,211.33
2023-04-03,211.33
2023-04-04,211.33
2023-04-06,211.33
2023-04-07,211.33
2023-04-10,211.33
2023-04-11,211.33
2023-04-12,211.33
2023-04-13,211.33
2023-04-14,211.33
2023-04-17,211.33
2023-04-18,211.33
2023-04-19,211.33
2023-04-20,211.33
2023-04-21,211.33
2023-04-24,211.33
2023-04-25,211.33
2023-04-26,211.33
