date,nav
2021-03-11,998608.9
2021-03-12,1001718.29
2021-03-15,1006723.46
2021-03-16,1034303.95
2021-03-17,1042922.6
2021-03-18,1040775.68
2021-03-19,1042651.6799999999
2021-03-22,1055056.68
2021-03-23,1043202.1
2021-03-24,1044492.68
2021-03-25,1042318.18
2021-03-26,1060380.83
2021-03-29,1057854.5
2021-03-30,1036352.0
2021-03-31,1042651.59
2021-04-01,1040426.92
2021-04-02,1047782.84
2021-04-06,1067839.33
2021-04-07,1066745.28
2021-04-08,1057485.69
2021-04-09,1055298.86
2021-04-12,1033348.18
2021-04-13,1027908.96
2021-04-14,1047289.17
2021-04-15,1051363.34
2021-04-16,1049206.43
2021-04-19,1054071.26
2021-04-20,1049042.37
2021-04-21,1043143.0599999999
2021-04-22,1045496.9
2021-04-23,1043318.9299999999
2021-04-26,1034028.69
2021-04-27,1004709.87
2021-04-28,1014701.73
2021-04-29,996280.8
2021-04-30,994181.92
2021-05-06,1004697.05
2021-05-07,1004915.46
2021-05-10,1009275.58
2021-05-11,1020302.74
2021-05-12,1018102.36
2021-05-13,1017876.63
2021-05-14,1033753.14
2021-05-17,1009354.4299999999
2021-05-18,1017209.41
2021-05-19,1015026.2
2021-05-20,1014861.6331713588
2021-05-21,1027700.936997143
2021-05-24,1025852.8845022896
2021-05-25,1031268.73
2021-05-26,1029011.1312162607
2021-05-27,1030474.17292636
2021-05-28,1025916.9428583414
2021-05-31,1033125.4925832016
2021-06-01,1046280.2313234902
2021-06-02,1044093.94
2021-06-03,1047055.1294523346
2021-06-04,1037795.64
2021-06-07,1046587.8563786915
2021-06-08,1060174.98
2021-06-09,1057953.5282634615
2021-06-10,1059547.366224242
2021-06-11,1063923.2196702724
2021-06-15,1041241.9234597529
2021-06-16,1038354.8078019249
2021-06-17,1036148.9384514907
2021-06-18,1046754.2763697957
2021-06-21,1057700.18
2021-06-22,1065469.1205220567
2021-06-23,1061239.83
2021-06-24,1059063.5150486366
2021-06-25,1050388.2374586088
2021-06-28,1058830.13
2021-06-29,1046605.03
2021-06-30,1055118.9903800024
2021-07-01,1052942.13
2021-07-02,1058863.8596425687
2021-07-05,1083190.54
2021-07-06,1088735.13
2021-07-07,1092771.86
2021-07-08,1090573.427487294
2021-07-09,1098085.3520492178
2021-07-12,1110459.95
2021-07-13,1117004.58
2021-07-14,1107656.1391663621
2021-07-15,1105366.1530385553
2021-07-16,1101552.7234209073
2021-07-19,1096789.8
2021-07-20,1099998.615718766
2021-07-21,1116896.646193463
2021-07-22,1114637.44
2021-07-23,1095972.06
2021-07-26,1080412.6400000001
2021-07-27,1067723.34
2021-07-28,1035606.7
2021-07-29,1033469.49
2021-07-30,1049656.45
2021-08-02,1067355.61
2021-08-03,1075781.94
2021-08-04,1082304.81
2021-08-05,1080178.11
2021-08-06,1075578.66
2021-08-09,1096841.24
2021-08-10,1114713.46
2021-08-11,1119838.93
2021-08-12,1117580.88
2021-08-13,1117305.9
2021-08-16,1121849.44
2021-08-17,1099536.3699999999
2021-08-18,1118187.73
2021-08-19,1115978.9
2021-08-20,1110328.72
2021-08-23,1142756.94
2021-08-24,1153105.85
2021-08-25,1165219.77
2021-08-26,1162861.14
2021-08-27,1153141.54
2021-08-30,1149385.42
2021-08-31,1153942.1
2021-09-01,1156101.03
2021-09-02,1153672.55
2021-09-03,1163856.29
2021-09-06,1178292.64
2021-09-07,1185691.21
2021-09-08,1206200.66
2021-09-09,1203714.3900000001
2021-09-10,1190175.57
2021-09-13,1196005.64
2021-09-14,1183147.1
2021-09-15,1186677.5
2021-09-16,1184271.04
2021-09-17,1171739.61
2021-09-22,1169640.9
2021-09-23,1186087.59
2021-09-24,1158309.12
2021-09-27,1155964.8
2021-09-28,1164040.17
2021-09-29,1139200.24
2021-09-30,1170753.95
2021-10-08,1217197.94
2021-10-11,1214674.44
2021-10-12,1201111.1199999999
2021-10-13,1202770.7
2021-10-14,1207779.86
2021-10-15,1194557.23
2021-10-18,1192100.17
2021-10-19,1190370.46
2021-10-20,1178541.34
2021-10-21,1160695.7
2021-10-22,1147312.93
2021-10-25,1144928.36
2021-10-26,1131166.29
2021-10-27,1103519.57
2021-10-28,1087292.09
2021-10-29,1120809.84
2021-11-01,1118462.46
2021-11-02,1096068.92
2021-11-03,1107011.67
2021-11-04,1118306.01
2021-11-05,1120941.68
2021-11-08,1118711.07
2021-11-09,1127273.66
2021-11-10,1135990.78
2021-11-11,1148024.19
2021-11-12,1161911.19
2021-11-15,1159550.44
2021-11-16,1150280.36
2021-11-17,1170197.66
2021-11-18,1156096.12
2021-11-19,1170986.57
2021-11-22,1168638.95
2021-11-23,1174197.41
2021-11-24,1180108.47
2021-11-25,1187748.03
2021-11-26,1183345.04
2021-11-29,1180936.22
2021-11-30,1205495.75
2021-12-01,1235366.06
2021-12-02,1222539.07
2021-12-03,1221354.44
2021-12-06,1218871.23
2021-12-07,1215387.1
2021-12-08,1221899.71
2021-12-09,1231087.8800000001
2021-12-10,1251802.83
2021-12-13,1249254.28
2021-12-14,1264347.5
2021-12-15,1272976.24
2021-12-16,1290643.43
2021-12-17,1292786.91
2021-12-20,1290156.46
2021-12-21,1322404.29
2021-12-22,1322887.9
2021-12-23,1300003.01
2021-12-24,1272801.15
2021-12-27,1270125.45
2021-12-28,1288810.32
2021-12-29,1293704.37
2021-12-30,1304853.27
2021-12-31,1306625.16
2022-01-04,1303942.4
2022-01-05,1296600.18
2022-01-06,1314587.8800000001
2022-01-07,1285151.95
2022-01-10,1302971.71
2022-01-11,1300247.39
2022-01-12,1325611.37
2022-01-13,1331147.71
2022-01-14,1304931.91
2022-01-17,1333617.18
2022-01-18,1330939.13
2022-01-19,1361306.17
2022-01-20,1307432.07
2022-01-21,1321512.68
2022-01-24,1297952.65
2022-01-25,1295305.05
2022-01-26,1318482.23
2022-01-27,1271551.55
2022-01-28,1317092.79
2022-02-07,1325718.48
2022-02-08,1322969.78
2022-02-09,1331596.12
2022-02-10,1327889.73
2022-02-11,1293996.52
2022-02-14,1317334.02
2022-02-15,1314545.98
2022-02-16,1354198.47
2022-02-17,1352647.14
2022-02-18,1366691.77
2022-02-21,1395856.81
2022-02-22,1393060.49
2022-02-23,1407223.86
2022-02-24,1380695.06
2022-02-25,1406213.47
2022-02-28,1399908.3699999999
2022-03-01,1396912.98
2022-03-02,1421891.73
2022-03-03,1425908.2
2022-03-04,1407454.39
2022-03-07,1405318.52
2022-03-08,1402400.45
2022-03-09,1384947.34
2022-03-10,1417448.55
2022-03-11,1430543.57
2022-03-14,1390092.67
2022-03-15,1387311.76
2022-03-16,1441157.7
2022-03-17,1454543.48
2022-03-18,1491106.99
2022-03-21,1517518.14
2022-03-22,1514307.02
2022-03-23,1513022.67
2022-03-24,1487290.95
2022-03-25,1505584.51
2022-03-28,1499187.67
2022-03-29,1496134.6
2022-03-30,1508652.44
2022-03-31,1526628.3
2022-04-01,1505221.56
2022-04-06,1547833.3
2022-04-07,1544614.93
2022-04-08,1527364.82
2022-04-11,1501040.1
2022-04-12,1541624.99
2022-04-13,1522393.84
2022-04-14,1519287.43
2022-04-15,1468946.09
2022-04-18,1487185.01
2022-04-19,1484307.48
2022-04-20,1488024.71
2022-04-21,1485080.71
2022-04-22,1465004.25
2022-04-25,1342940.13
