date,nav
2021-03-11,998407.9635300008
2021-03-12,997292.0735300008
2021-03-15,996220.1335300008
2021-03-16,1010701.5335010955
2021-03-17,1017145.9935300008
2021-03-18,1016385.5535300008
2021-03-19,1019012.4635300008
2021-03-22,1038646.9835300008
2021-03-23,1025916.0935300008
2021-03-24,1019971.8975623747
2021-03-25,1014190.2435300008
2021-03-26,1025929.0535300008
2021-03-29,1025877.1635300008
2021-03-30,1015139.8364268483
2021-03-31,1019808.3304653923
2021-04-01,1018516.4735300008
2021-04-02,1024025.0535300008
2021-04-06,1036314.6335300008
2021-04-07,1047750.4235300008
2021-04-08,1038171.8335300008
2021-04-09,1039615.7314878253
2021-04-12,1038348.8274406451
2021-04-13,1031616.4743709156
2021-04-14,1043981.3410663852
2021-04-15,1039121.0474406452
2021-04-16,1059647.9116448048
2021-04-19,1072650.0991529867
2021-04-20,1064821.6835684767
2021-04-21,1059294.4511303972
2021-04-22,1062457.5574406453
2021-04-23,1047102.1739034366
2021-04-26,1045391.5406808357
2021-04-27,1032353.8925624534
2021-04-28,1035075.1057090047
2021-04-29,1019245.853749316
2021-04-30,1012980.4145004964
2021-05-06,1021909.4486200424
2021-05-07,1019068.6174406451
2021-05-10,1026981.6588966452
2021-05-11,1029096.6555451312
2021-05-12,1040246.5867681702
2021-05-13,1035770.4643485304
2021-05-14,1034408.7981463606
2021-05-17,1019893.5403217025
2021-05-18,1024958.6058644545
2021-05-19,1023049.5685142621
2021-05-20,1019653.4153737007
2021-05-21,1022973.7779387586
2021-05-24,1027693.7613872346
2021-05-25,1033466.9415878792
2021-05-26,1043740.0545504194
2021-05-27,1050450.4373264944
2021-05-28,1043647.6234012204
2021-05-31,1056627.6769234457
2021-06-01,1065600.2244814453
2021-06-02,1060014.670801798
2021-06-03,1058227.7186545127
2021-06-04,1053603.8961288864
2021-06-07,1061152.3804240704
2021-06-08,1059478.808044674
2021-06-09,1060487.0328882504
2021-06-10,1065700.6406663535
2021-06-11,1058655.5945657338
2021-06-15,1057296.2804517224
2021-06-16,1048124.6159901216
2021-06-17,1052081.2949862946
2021-06-18,1059567.6632275814
2021-06-21,1073275.329109098
2021-06-22,1079863.323433482
2021-06-23,1080826.3306977262
2021-06-24,1072839.0065937731
2021-06-25,1071622.1054059335
2021-06-28,1077522.7735520003
2021-06-29,1066777.1823900645
2021-06-30,1072653.299007127
2021-07-01,1054268.1810773963
2021-07-02,1052348.8572715404
2021-07-05,1068866.6801955497
2021-07-06,1069458.2710059423
2021-07-07,1076902.7702593612
2021-07-08,1072296.6147770039
2021-07-09,1079685.0819854375
