date,nav
2021-03-11,998608.9
2021-03-12,1001718.29
2021-03-15,1006723.46
2021-03-16,1034303.95
2021-03-17,1042922.6
2021-03-18,1044733.15
2021-03-19,1048415.61
2021-03-22,1060470.22
2021-03-23,1047400.64
2021-03-24,1049050.78
2021-03-25,1049389.03
2021-03-26,1063651.66
2021-03-29,1060255.71
2021-03-30,1039022.54
2021-03-31,1047414.05
2021-04-01,1042385.57
2021-04-02,1047762.46
2021-04-06,1060239.18
2021-04-07,1076521.1
2021-04-08,1055798.68
2021-04-09,1059579.07
2021-04-12,1058170.0476316
2021-04-13,1051157.9576316
2021-04-14,1069876.1076316
2021-04-15,1074594.6676316
2021-04-16,1110441.3376316
2021-04-19,1114933.1276316
2021-04-20,1109808.7976316
2021-04-21,1102047.7076316
2021-04-22,1105519.9176316
2021-04-23,1053591.1476316
2021-04-26,1070941.4276316
2021-04-27,1040374.7776316002
2021-04-28,1052189.9176316
2021-04-29,1045375.2576316001
2021-04-30,1023615.3476316001
2021-05-06,1062024.7776316
2021-05-07,1033763.3876316001
2021-05-10,1041161.8876316001
2021-05-11,1051143.4576316
2021-05-12,1096228.2576316001
2021-05-13,1100228.7776316
2021-05-14,1098663.9364965074
2021-05-17,1073820.8080487
2021-05-18,1082737.0180487
2021-05-19,1087241.4780487
2021-05-20,1088945.5713742094
2021-05-21,1099754.1964161098
2021-05-24,1096331.4884172187
2021-05-25,1102373.3480487
2021-05-26,1116955.4749165538
2021-05-27,1115324.4069677799
2021-05-28,1110874.8042852187
2021-05-31,1122389.5257885335
2021-06-01,1135979.192150545
2021-06-02,1136302.6280486998
2021-06-03,1150246.154497872
2021-06-04,1140412.4480486999
2021-06-07,1153284.8323524985
2021-06-08,1173011.4180486999
2021-06-09,1174276.6559486669
2021-06-10,1178964.2903205964
2021-06-11,1184630.6789325033
2021-06-15,1183022.272757556
2021-06-16,1180536.8008114207
2021-06-17,1172982.5441752817
2021-06-18,1184275.3206033043
2021-06-21,1195773.9833558996
2021-06-22,1204411.8583332384
2021-06-23,1200204.8733558995
2021-06-24,1200035.2638337149
2021-06-25,1188907.2231587747
2021-06-28,1197091.8233558994
2021-06-29,1184711.8833558995
2021-06-30,1193910.2433396021
2021-07-01,1175782.1433558995
2021-07-02,1179133.5731427933
2021-07-05,1206949.8033558996
2021-07-06,1210358.5733558994
2021-07-07,1214115.9633558996
2021-07-08,1202057.2844968084
2021-07-09,1211540.977973811
2021-07-12,1224775.5533558996
2021-07-13,1234414.2733558996
2021-07-14,1232973.5059374464
2021-07-15,1206353.3206701793
2021-07-16,1202415.0744994946
2021-07-19,1197763.8307928934
2021-07-20,1200470.9732643948
2021-07-21,1218074.8126264866
2021-07-22,1222187.7907928934
2021-07-23,1204426.5307928934
2021-07-26,1187586.2807928934
2021-07-27,1169874.7907928934
2021-07-28,1137285.8507928934
2021-07-29,1161764.5907928934
2021-07-30,1180247.5607928934
2021-08-02,1196668.8707928935
2021-08-03,1203562.1407928935
2021-08-04,1211437.9807928933
2021-08-05,1206516.8207928934
2021-08-06,1203293.1107928935
2021-08-09,1223031.0207928934
2021-08-10,1243868.3007928934
2021-08-11,1250997.3107928934
2021-08-12,1249337.1352494631
2021-08-13,1249029.805249463
2021-08-16,1254109.4352494632
2021-08-17,1229166.515249463
2021-08-18,1250017.835249463
2021-08-19,1245769.9052494632
2021-08-20,1239843.6552494632
2021-08-23,1275184.2052494632
2021-08-24,1284878.2352494632
2021-08-25,1298778.6152494631
2021-08-26,1299831.9752494632
2021-08-27,1292342.9952494632
2021-08-30,1266437.315249463
2021-08-31,1272560.535249463
2021-09-01,1272122.4452494632
2021-09-02,1278174.6752494632
2021-09-03,1288194.4452494632
2021-09-06,1306246.255249463
2021-09-07,1315281.4752494632
2021-09-08,1336387.9452494632
2021-09-09,1336441.325249463
2021-09-10,1334779.386970191
2021-09-13,1342865.056970191
2021-09-14,1327859.216970191
2021-09-15,1331994.536970191
2021-09-16,1332449.886970191
2021-09-17,1316818.9869701911
2021-09-22,1312865.046970191
2021-09-23,1328293.786970191
2021-09-24,1311192.9869701911
2021-09-27,1253709.586970191
2021-09-28,1260813.7369701911
2021-09-29,1232793.546970191
2021-09-30,1266914.926970191
2021-10-08,1315650.7469701911
2021-10-11,1313122.926970191
2021-10-12,1302805.686970191
2021-10-13,1302943.436970191
2021-10-14,1305638.636970191
2021-10-15,1292511.0169701912
2021-10-18,1306466.046970191
2021-10-19,1307654.666970191
2021-10-20,1305910.52
2021-10-21,1285932.18
2021-10-22,1271795.2
2021-10-25,1267862.58
2021-10-26,1253289.16
2021-10-27,1223199.93
2021-10-28,1206558.58
2021-10-29,1243430.67
2021-11-01,1256084.91
2021-11-02,1233206.82
2021-11-03,1245574.56
2021-11-04,1257119.01
2021-11-05,1258591.89
2021-11-08,1273559.78
2021-11-09,1283792.54
2021-11-10,1293611.02
2021-11-11,1306227.77
2021-11-12,1320051.71
2021-11-15,1350495.34
2021-11-16,1337121.78
2021-11-17,1359184.58
2021-11-18,1357354.2941429205
2021-11-19,1375926.3341429203
2021-11-22,1375201.9141429204
2021-11-23,1381363.0441429205
2021-11-24,1388770.4241429204
2021-11-25,1398094.0241429205
2021-11-26,1392335.1941429204
2021-11-29,1380531.6641429204
2021-11-30,1410133.7441429205
2021-12-01,1446711.1841429204
2021-12-02,1436643.5341429205
2021-12-03,1435884.2641429205
2021-12-06,1409267.6341429204
2021-12-07,1407828.6041429203
2021-12-08,1411867.7741429205
2021-12-09,1421946.4741429205
2021-12-10,1445021.5541429205
2021-12-13,1444909.5241429205
2021-12-14,1465287.8541429203
2021-12-15,1456875.6041429203
2021-12-16,1475132.1841429204
2021-12-17,1473165.5666408234
2021-12-20,1473949.4266408235
2021-12-21,1511031.8166408234
2021-12-22,1509105.3066408234
2021-12-23,1481606.7966408234
2021-12-24,1447674.3466408234
2021-12-27,1476985.4466408233
2021-12-28,1491136.7566408233
2021-12-29,1494478.5066408233
2021-12-30,1506667.2666408233
2021-12-31,1510115.6666408235
2022-01-04,1557903.4566408233
2022-01-05,1546521.1266408234
2022-01-06,1567539.7766408233
2022-01-07,1531040.8266408234
2022-01-10,1555677.7466408233
2022-01-11,1572266.1266408234
2022-01-12,1606234.5066408233
2022-01-13,1611294.1066408234
2022-01-14,1595035.3766408234
2022-01-17,1631499.7466408233
2022-01-18,1629343.75
2022-01-19,1666517.88
2022-01-20,1600564.97
2022-01-21,1617801.43
2022-01-24,1588955.02
2022-01-25,1517594.82
2022-01-26,1542527.55
2022-01-27,1479874.97
2022-01-28,1534517.6
2022-02-07,1547458.17
2022-02-08,1571976.98
2022-02-09,1588149.1300000001
2022-02-10,1587840.61
2022-02-11,1551790.78
2022-02-14,1598238.42
2022-02-15,1614187.69
2022-02-16,1658045.0
2022-02-17,1654390.73
2022-02-18,1666500.93
2022-02-21,1700635.81
2022-02-22,1688483.02
2022-02-23,1686274.79
2022-02-24,1657216.28
2022-02-25,1687341.04
2022-02-28,1678445.71
2022-03-01,1716289.8
2022-03-02,1752935.27
2022-03-03,1766706.1300000001
2022-03-04,1746477.67
2022-03-07,1739613.8
2022-03-08,1688676.96
2022-03-09,1669690.01
2022-03-10,1708819.77
2022-03-11,1716167.89
2022-03-14,1663192.75
2022-03-15,1583980.2
